Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
wdbc,instance,0.1,icd,anticausal,0:05:44.360782
wdbc,instance,0.1,ccdr,causal,0:00:03.841446
wdbc,instance,0.1,fci,anticausal,0:00:12.053924
wdbc,instance,0.1,icd,anticausal,0:05:40.295275
wdbc,pair,0.1,fci,anticausal,0:00:11.292618
wdbc,pair,0.1,icd,anticausal,0:05:43.147062
wdbc,sym,0.1,fci,anticausal,0:00:11.505537
wdbc,sym,0.1,icd,anticausal,0:05:40.689941
wdbc,instance,0.2,fci,unkown,0:00:12.452061
wdbc,instance,0.2,icd,anticausal,0:05:32.231764
wdbc,pair,0.2,fci,unkown,0:00:12.543976
wdbc,pair,0.2,icd,anticausal,0:05:30.496622
wdbc,sym,0.2,fci,unkown,0:00:11.636479
wdbc,sym,0.2,icd,anticausal,0:05:31.940156
wdbc,instance,0.3,fci,unkown,0:00:12.892998
wdbc,instance,0.3,icd,unkown,0:04:51.522112
wdbc,pair,0.3,fci,unkown,0:00:11.946258
wdbc,pair,0.3,icd,anticausal,0:05:26.610546
wdbc,sym,0.3,fci,unkown,0:00:11.559938
wdbc,sym,0.3,icd,anticausal,0:05:30.989452
