dataset,noise_type,initial_noise,corr/p-value,slope
xyguassian,instance,0.0,1.4004353232621725e-12,-0.0005299999999999101
xyguassian,instance,0.2,1.8734347406734742e-10,-0.00041666666666653724
xyguassian,instance,0.4,6.267830698902799e-11,-0.00010999999999994326
xyguassian,sym,0.0,7.744378059405006e-13,0.00256999999999997
xyguassian,sym,0.2,7.765553841200789e-15,0.0007966666666666306
xyguassian,sym,0.4,7.716060030066109e-13,0.0017566666666665545
xyguassian,pair,0.0,7.744378059405006e-13,0.00256999999999997
xyguassian,pair,0.2,7.765553841200789e-15,0.0007966666666666306
xyguassian,pair,0.4,7.716060030066109e-13,0.0017566666666665545
yxguassian,instance,0.0,1.0,0.6110899999999999
yxguassian,instance,0.2,0.9999999999999973,0.4322833333333333
yxguassian,instance,0.4,0.9999995136976713,0.14179666666666665
yxguassian,sym,0.0,1.0,0.7241033333333333
yxguassian,sym,0.2,1.0,0.4426833333333332
yxguassian,sym,0.4,0.9999999999981073,0.1441966666666667
yxguassian,pair,0.0,1.0,0.7241033333333333
yxguassian,pair,0.2,1.0,0.4426833333333332
yxguassian,pair,0.4,0.9999999999978647,0.14425000000000002
balancescale,instance,0.0,0.9999370299604603,0.18179166666666668
balancescale,instance,0.2,0.9985017661567415,0.13379166666666673
balancescale,instance,0.4,0.10032137066944022,0.08152380916666661
balancescale,sym,0.0,0.9999998511406488,0.2364
balancescale,sym,0.2,0.9999602635492569,0.1681333333333333
balancescale,sym,0.4,0.10131789861857717,0.09
balancescale,pair,0.0,0.9999999924198518,0.23726666666666668
balancescale,pair,0.2,0.9997361748468935,0.17519999999999997
balancescale,pair,0.4,0.10715825717488935,0.08780000000000004
krkp,instance,0.0,7.375675972416561e-09,0.007172665666666651
krkp,instance,0.2,8.178828468068319e-09,0.008059467333333356
krkp,instance,0.4,1.530514692760221e-08,-0.0013302036666666866
krkp,sym,0.0,5.921379778260554e-09,0.003416796666666675
krkp,sym,0.2,3.0122641381247206e-08,-0.003729785666666679
krkp,sym,0.4,8.17235824884353e-08,0.012545644333333338
krkp,pair,0.0,5.921379778260554e-09,0.003416796666666675
krkp,pair,0.2,3.0122641381247206e-08,-0.003729785666666679
krkp,pair,0.4,8.17235824884353e-08,0.012545644333333338
waveform,instance,0.0,0.9999999993060834,0.2232083333333333
waveform,instance,0.2,0.9999997212405731,0.17552499999999996
waveform,instance,0.4,0.4583099631147558,0.09965833333333335
waveform,sym,0.0,0.9999999987784011,0.25699999999999995
waveform,sym,0.2,0.9999999973825306,0.18786666666666665
waveform,sym,0.4,0.17170889069451784,0.09614166666666672
waveform,pair,0.0,0.9999999992126692,0.25433333333333324
waveform,pair,0.2,0.9998321935100654,0.11108333333333331
waveform,pair,0.4,3.2010185280206827e-08,-0.04221666666666665
splice,instance,0.0,9.989295924328424e-10,0.021016196000000043
splice,instance,0.2,1.9343090168069364e-07,0.02061128516666668
splice,instance,0.4,6.845121050420061e-09,0.021577847833333327
splice,sym,0.0,6.07861525061405e-07,0.05073145283333332
splice,sym,0.2,3.135849278814051e-07,0.03969435716666665
splice,sym,0.4,3.8649099904294697e-08,0.020754962833333317
splice,pair,0.0,2.3803127255757346e-05,0.05177638516666666
splice,pair,0.2,2.9817453037000624e-06,0.04063479666666663
splice,pair,0.4,5.3743577928123556e-08,0.03129571550000004
