dataset,noise_type,initial_noise,corr/p-value,slope,stderr,output
balancescale,sym,0.0,0.9999998511406488,0.2364,0.008796006790000385,0.2364
balancescale,sym,0.2,0.9996638450429803,0.1691,0.012869651763273864,0.1691
balancescale,sym,0.4,0.9350959499042651,0.1151,0.00892356727492169,0.1151
balancescale,pair,0.0,0.9999999924198518,0.2373,0.0060536752578072015,0.2373
balancescale,pair,0.2,0.9998653596519376,0.1879,0.014261332632878695,0.1879
balancescale,pair,0.4,0.999336133777675,0.1364,0.007557777451076556,0.1364
balancescale,instance,0.0,0.9999581688612944,0.1815,0.011164693026248831,0.1815
balancescale,instance,0.2,0.9991038166730329,0.1311,0.00677705434598737,0.1311
balancescale,instance,0.4,0.3833053147580259,0.0961,0.01259098526934684,0.0961
krkp,sym,0.0,5.921380102314533e-09,0.0034,0.004128259882221085,0.0034
krkp,sym,0.2,8.974748365324049e-11,0.0162,0.002111464355999521,0.0162
krkp,sym,0.4,7.420586559388686e-10,0.0137,0.0028362644222365272,0.0137
krkp,pair,0.0,5.921380102314533e-09,0.0034,0.004128259882221085,0.0034
krkp,pair,0.2,8.974748365324049e-11,0.0162,0.002111464355999521,0.0162
krkp,pair,0.4,7.420586559388686e-10,0.0137,0.0028362644222365272,0.0137
krkp,instance,0.0,2.5939327869163238e-08,0.0195,0.004151640821199559,0.0195
krkp,instance,0.2,4.967021391284181e-07,0.0174,0.006221541860436966,0.0174
krkp,instance,0.4,1.309678090176951e-07,0.0256,0.004716943336257681,0.0256
waveform,sym,0.0,0.9999999987827016,0.257,0.005496611510306876,0.257
waveform,sym,0.2,0.9999999973825306,0.1879,0.0033872387343361087,0.1879
waveform,sym,0.4,0.9854602048511291,0.1079,0.002992458002074594,0.1079
waveform,pair,0.0,0.9999999992126692,0.2543,0.0051128663307781815,0.2543
waveform,pair,0.2,0.999999999998166,0.2434,0.0022194762299802048,0.2434
waveform,pair,0.4,0.999999999963742,0.2442,0.003244758186342156,0.2442
waveform,instance,0.0,0.9999999965469153,0.2236,0.004934547791313967,0.2236
waveform,instance,0.2,0.9999999939498615,0.1785,0.0033666254122887295,0.1785
waveform,instance,0.4,0.99999960446564,0.1304,0.002221878941739818,0.1304
splice,sym,0.0,8.190027153972607e-08,0.0526,0.0028301028462564743,0.0526
splice,sym,0.2,2.655205995780248e-05,0.051,0.006296831249432233,0.051
splice,sym,0.4,9.060705809877997e-08,0.0357,0.0038903771721673134,0.0357
splice,pair,0.0,5.219708468290408e-06,0.0502,0.005123318183807063,0.0502
splice,pair,0.2,5.318750853089578e-06,0.0414,0.006043717261973249,0.0414
splice,pair,0.4,5.215915104502475e-08,0.0416,0.003292681090232308,0.0416
splice,instance,0.0,2.662637619249465e-08,0.0237,0.003947673785305021,0.0237
splice,instance,0.2,6.878749421564605e-08,0.0308,0.004039164910437074,0.0308
splice,instance,0.4,2.1101199060979724e-06,0.036,0.005832722069631739,0.036
